TT,CT,PA,RA,ECP1,ECP2,ECP3,ECP4,ECP5,FR,DR,GP,SV,LTV,LHV,fine sand-1,silty clay-1,silty clay-2,silty clay-3,AS
78342,6,15.2,0.5,2.427,2.384,3.418,3.032,3.819,2211.299,2577.528,3.509,43,33,-3,5.04,1.85,7.01,0,19
78177,6,15.3,0.9,2.466,2.401,3.49,3.036,3.863,2126.483,2529.297,4.511,51,33,-1,5.04,1.85,7.01,0,17
78546,6,15.3,0.9,2.464,2.42,3.44,3.053,3.861,2163.448,2162.688,5.204,0,34,-0.66,5.04,1.85,7.01,0,18
77666,6,15.5,1.1,2.476,2.399,3.436,3.033,3.844,2176.74,3500,3.979,-3,32,-21,5.04,1.85,7.01,0,19
78152,6,15.5,1.2,2.465,2.386,3.398,3.028,3.894,2114.583,2085.847,5.324,-1,32,-21,5.04,1.85,7.01,0,19
78623,5,15.3,1.2,2.534,2.463,3.536,3.084,3.924,2174.714,2582.845,4.148,0,11,-0.66,5.04,1.85,7.01,0,17
78954,5,15.7,1.6,2.447,2.35,3.498,2.999,3.876,2210.287,3229.094,3.924,-1,32,-22,5.04,1.85,7.01,0,18
82935,7,15.7,1.6,2.415,2.366,3.385,2.99,3.901,2628.038,2320.801,3.429,3,32,-21,5.04,1.85,7.01,0,23
80522,7,15.9,1.8,2.462,2.416,3.516,3.015,3.962,2539.424,1602.394,4.607,2,32,-23,5.04,1.85,7.01,0,24
80171,6,15.7,1.2,2.508,2.454,3.584,3.041,4.014,2534.234,2968.822,4.948,3,32,-23,5.04,1.85,7.01,0,23
79179,7,15.9,1.2,2.429,2.377,3.424,3.008,3.924,2538.791,3333.026,3.578,3,31,-23,5.04,1.85,7.01,0,21
80175,5,16.2,1.4,2.518,2.471,3.371,3.043,3.992,2385.489,2609.556,4.346,4,30,-24,5.04,1.85,7.01,0,21
79596,6,16.4,1.1,2.48,2.434,3.329,3.03,3.962,2550.818,2781.72,4.085,4,28,-24,5.04,1.85,7.01,0,22
80161,6,16.6,1.1,2.446,2.393,3.271,3.021,3.943,2609.303,2222.946,3.537,5,28,-24,5.04,1.85,7.01,0,21
79256,6,16.6,0.9,2.429,2.385,3.357,3.013,3.934,2570.439,3500,3.46,6,26,-25,5.04,1.85,7.01,0,24
80249,6,16.8,0.9,2.462,2.409,3.513,3.02,3.954,2548.286,3500,3.422,11,25,-26,5.04,1.85,7.01,0,24
79298,6,16.6,0.5,2.434,2.395,3.508,3.027,3.957,2455.494,2275.354,2.594,23,25,-22,5.04,1.85,7.01,0,20
79392,6,16.8,0.4,2.425,2.382,3.344,3.014,3.952,2361.057,1555.049,3.964,6,24,-26,5.04,1.85,7.01,0,21
77580,6,16.8,0.4,2.421,2.391,3.415,3.025,3.964,2416.377,2248.77,4.268,3,23,-27,5.04,1.85,7.01,0,23
77496,6,16.9,0.2,2.451,2.405,3.229,3.025,3.896,2498.535,2507.143,3.522,13,22,-26,5.04,1.85,7.01,0,19
78298,6,16.8,0,2.48,2.445,3.597,3.045,3.988,2560.059,2393.971,3.588,14,21,-26,5.04,1.85,7.01,0,20
77716,5,16.9,0,2.416,2.379,3.555,3.018,3.964,2589.048,3307.708,3.425,10,19,-26,5.04,1.85,7.01,0,20
78817,6,16.8,0,2.484,2.423,3.495,3.042,4.01,2620.569,3500,3.376,9,18,-25,5.04,1.85,7.01,0,20
79177,5,16.9,-0.2,2.396,2.346,3.39,2.979,3.947,2558.286,2622.848,2.385,2,17,-28,5.04,1.85,7.01,0,14
81826,5,16.9,-0.2,2.497,2.45,3.379,3.056,4.049,2594.365,3500,2.036,13,18,-27,5.04,1.85,7.01,0,18
82456,7,16.9,-0.4,2.445,2.392,3.555,3.035,4.004,2580.566,3235.677,2.142,1,18,-29,5.04,1.85,7.01,0,20
90677,2,16.2,-0.4,2.402,2.378,3.655,2.95,3.894,2260.67,2943.884,5.14,3,12,-24,5.04,1.85,7.01,0,3
97079,4,16.2,-0.4,2.46,2.444,3.587,2.981,3.904,2219.021,2455.621,5.14,5,13,-22,5.04,1.85,7.01,0,10
90260,5,16.4,0,2.504,2.505,3.644,2.998,3.957,2130.281,2120.913,5.226,11,13,-23,5.04,1.85,7.01,0,20
